NAME;LOGO_URL;INFO_URL;ALT_MIN;ALT_MAX;PISTE_BLEUE;PISTE_ROUGE;PISTE_NOIRE;REMONTEES;PISTES;KM_PISTES;DEVISE;TARIF_ADULTE;TARIF_SENIOR;TARIF_JEUNE;TARIF_ENFANT;MAGICPASS;SITE_URL;WEBCAM_URL;PLAN_I_URL;PLAN_URL;PLAN_PDF
Chäserrugg;https://pub-5f649708c5c749dc9168b4dd1510af5f.r2.dev/assets/kunden/chaeserrugg/_kundencase/logo/logo-chaeserrugg-green.svg;https://www.skiinfo.fr/suisse-orientale/toggenburg/station-de-ski;900;2262;22;67;11;14;23;50;CHF;61.5;;52.5;31;;https://www.chaeserrugg.ch/de;https://www.chaeserrugg.ch/de/webcam/?headless=1;https://www.chaeserrugg.ch/de/bahnen-karten/?headless=1;https://cdn.bfldr.com/WIENNW6Q/as/j44k3s2vqx7v4688h6hksxp/Chserrugg_-_Toggenburg?auto=webp&width=2048;
Chemeuille - Télé-Evolène;;;;;;;;;;;CHF;;;;;oui;;;;;
Chur - Brambrüesch;;;;;;;;;;;CHF;;;;;;;;;;
Corvatsch - Sils - Silvaplana;;;;;;;;;;;CHF;;;;;;;;;;
Crans-Montana;https://img.oastatic.com/img2/24910535/max/variant.jpg;https://www.skiinfo.fr/valais/crans-montana/station-de-ski;1500;3000;39;50;11;27;41;140;CHF;89;;69;50;;https://www.crans-montana.ch/fr/activites/ski;;https://www.infosnow.ch/~apgmontagne/?id=141&tab=map-wi2&lng=fr;https://cdn.bfldr.com/WIENNW6Q/as/3738vtgwn9kc6vkrgpgqsbxh/Crans_Montana?auto=webp&width=2048;https://www.crans-montana.ch/img_up/DOCNONPUB/a32e24eaae168cf7ecf9136b1f450ace.CMTC_PlanPistes_2026_compressed.pdf
Dallenwil - Wirzweli;;;;;;;;;;;CHF;;;;;;;;;;
Davos Klosters;;;;;;;;;;;CHF;;;;;;;;;;
Dent de Vaulion – Le Morez;https://static.myvalleedejoux.ch/Logo-OTVallee24.png?1773069626;;1147;1480;50;25;25;2;4;;CHF;30;;;19;oui;https://www.myvalleedejoux.ch/fr/Z14759/info-neige-etat-des-pistes;;;vaulion.jpg;https://static.mycity.travel/manage/uploads/6/26/452439/1/plan-des-pistes-de-ski-alpin.pdf
Diavolezza - Pontresina;;;;;;;;;;;CHF;;;;;;;;;;
Diemtigtal - Grimmialp;;;;;;;;;;;CHF;;;;;oui;;;;;
Diemtigtal - Wiriehorn;;;;;;;;;;;CHF;;;;;oui;;;;;
Disentis 3000;https://www.andermatt-sedrun-disentis.ch/themes/andermatt/assets/footer.svg;https://www.skiinfo.fr/les-grisons/andermatt-sedrun/station-de-ski;1444;2963;26;50;24;22;43;120;CHF;89;81;45;45;;https://www.andermatt-sedrun-disentis.ch/fr/pages/discover;https://www.andermatt-sedrun-disentis.ch/fr/stories/webcams;https://winter.intermaps.com/andermatt_sedrun_disentis;https://vcdn.bergfex.at/images/resized/1c/ae8211030bc7b21c_e2f3e6cd9b19a856@2x.jpg;https://files.skimap.org/kfp2b8oa1txipb1pvgf6e124vbr8.pdf
Dôle - Tuffes;https://www.jurasurleman.com/content/themes/jurasurleman/assets/images/svg/logo/JSL_COUL.png;https://www.skiresort.fr/domaine-skiable/la-dole-les-tuffes-jura-sur-leman/;1160;1678;62;30;8;18;26;28.6;EUR;40.5;30.5;;30.5;oui;https://www.jurasurleman.com/;https://www.jurasurleman.com/informations-pratiques/webcams/;https://www.jurasurleman.com/domaine-skiable/plans-ouvertures-des-pistes/;doletuffes.jpg;
Ebenalp;https://www.ebenalp.ch/files/themes/ebenalp/ui/logo_web_winter.svg;https://www.skiinfo.fr/suisse-orientale/ebenalp/station-de-ski;838;1726;10;80;10;7;10;10;CHF;40;;33;29;;https://www.ebenalp.ch/de;https://www.ebenalp.ch/de#article-20;https://www.ebenalp.ch/winter/winterkarte;https://vcdn.bergfex.at/images/resized/3c/025d9be0a550423c_4ee4bc5cf2eae9f5.jpg;
Eggiwil;;;;;;;;;;;CHF;;;;;;;;;;
Eischoll;;;;;;;;;;;CHF;;;;;oui;;;;;
Elm - Ampachli;;;;;;;;;;;CHF;;;;;;;;;;
Elsigen - Metsch;;;;;;;;;;;CHF;;;;;;;;;;
Engadin St. Moritz;;;;;;;;;;;CHF;;;;;;;;;;
Engelberg - Titlis;;;;;;;;;;;CHF;;;;;;;;;;
Eriz;;;;;;;;;;;CHF;;;;;oui;;;;;
Espace Dent Blanche;;;;;;;;;;;CHF;;;;;;;;;;
Faltschen;;;;;;;;;;;CHF;;;;;oui;;;;;
Fideris;;;;;;;;;;;CHF;;;;;;;;;;
Flumserberg - Heidiland;;;;;;;;;;;CHF;;;;;;;;;;
Gantrisch Gurnigel;;;;;;;;;;;CHF;;;;;oui;;;;;
Giswil - Mörlialp;;;;;;;;;;;CHF;;;;;oui;;;;;
Glacier 3000;;;;;;;;;;;CHF;;;;;oui;;;;;
Gluringen;https://static.wixstatic.com/media/f54695_a1623552aee14a26afd6b74c5d17f2d2~mv2.jpg/v1/crop/x_555,y_3901,w_9249,h_2514/fill/w_422,h_129,al_c,q_80,usm_0.66_1.00_0.01,enc_avif,quality_auto/f54695_a1623552aee14a26afd6b74c5d17f2d2~mv2.jpg;;1333;1445;100;0;0;1;1;1.2;CHF;30;;;25;;https://www.skilift-gluringen.ch/;;;gluringen.jpg;
Grächen;;;;;;;;;;;CHF;;;;;oui;;;;;
Grenchenberg;https://www.grenchen.ch/dist/grenchen/2023/images/logo.86ee814b2f98a686434a.svg;https://www.skiresort.fr/domaine-skiable/grenchenberg-grenchen/;1240;1350;100;0;0;2;2;0.8;CHF;24;;;17;oui;https://www.grenchen.ch/sportanlagenplaetze/11951;https://jurasonnenseite.ch/erleben/auf-dem-berg/httpswww-swg-chwebcam;;https://api.i-web.ch/public/guest/getImageString/g215/684c1646919b1fab9da9b9d6bce61c37/0/0/5ffecd60efe27;https://jurasonnenseite.ch/assets/Skilift/pistenplan/Skilift_Pistenplan-Grenchenberge_Tafel_3_2025.pdf
Grimentz;;;;;;;;;;;CHF;;;;;oui;;;;;
Grindelwald - Wengen;;;;;;;;;;;CHF;;;;;;;;;;
